arrival_rate,service_time,num_counters,sim_time,avg_wait
5.525067684816477,7.764379702214896,2,435,203.2855735224101
9.361785925223876,8.422465269143196,1,444,215.61749944279367
8.250681313564618,14.449178361493662,1,318,150.63254108741495
4.700227849835237,6.221364851278939,5,354,142.393905242217
5.850366637515297,2.0508203270420484,4,316,103.25287885858964
7.822479249801567,9.289553122912935,5,341,155.72107296626908
4.647893919618952,10.259526229377373,3,204,92.03106616949024
9.2480819359041,3.7971112578860255,1,348,168.43078634379953
4.370210916186148,2.035317422302469,2,328,126.3610793068226
3.250618046480928,8.090811224003861,3,451,200.09854570195043
2.9830200657806376,2.4242465561918065,1,343,146.8175084931464
7.343839771836812,9.212661898860802,2,365,174.8569973077217
3.2286917162060105,11.723367786100345,4,446,194.60551536323192
7.969036364474548,8.793387263898463,5,267,122.59954038278417
3.4115350293988054,5.403437099347631,2,212,93.80648944963248
1.2530901657928049,5.7532557554738,1,303,130.85550988716557
3.5465166745138097,6.6623790951127155,5,487,197.83606303211278
6.820526549129372,11.949420896758546,1,250,118.36543501173186
2.6212618287598053,10.302578826408773,4,208,87.21163426634124
4.913224760107667,8.563382510468873,5,321,138.7023532823395
1.558224350937651,3.5525848673330147,1,489,201.8852417340417
4.817337443016854,11.236706364567006,4,242,107.51114061026865
1.6573381408662837,5.032598656637704,3,451,143.22094301996222
1.0087875237966584,13.217033586584328,2,478,200.914564085454
1.0475159765777182,4.315976003375611,5,431,2.1551864153212033
8.247816514827848,6.336225504882291,3,396,183.91902000725554
6.400671568625137,13.93655909130121,2,340,163.6829197370727
7.466742617883122,6.243987801414323,4,408,183.2266041297113
3.6338824340521447,2.6883220048315333,3,419,144.0728975335469
2.4408564790849123,7.276421308739626,4,333,125.3745810390129
4.464942955146602,7.345585420198461,5,301,127.09294117592081
1.1570034301681997,11.111848035556932,1,295,130.59721019567093
7.377499666622095,3.78645340365237,4,469,199.65853028273403
9.466854909378485,6.06354879046477,4,319,146.97734235527574
6.1154701335819635,11.441477993834107,4,488,226.31679078989512
6.864016566606454,8.225865596338494,1,302,146.04457317279883
6.637010083667909,14.036996308985739,3,264,121.79779820826
8.294137897109533,12.542301308396775,2,437,208.27442427953937
1.1979691320656167,14.01665943697153,5,338,115.24827664142165
2.394199319860943,10.866433888865448,3,337,145.8195731194768
2.3248201134734625,5.288736345344599,3,431,160.0520351940962
2.802964918252793,13.419416151281055,5,247,102.50623415636912
9.91490968481733,3.3323765034309405,1,420,203.0253535479849
7.464154265496878,14.609913260741905,3,281,134.81342416164645
7.657290503753182,8.358787896916146,2,442,210.96067601479785
3.3808729316622372,11.778445916897555,3,467,211.3211277141367
1.5676432346113585,7.699367054720015,3,469,174.26882569724398
3.308176534405492,5.869578478130464,4,312,123.75532188748265
2.2555903682444303,8.44517825443053,5,241,88.96369891908168
6.182128938853386,12.528922490304513,5,479,222.57141342130618
8.147114044589935,12.95292393732425,2,210,101.87118352206838
5.227898426559688,11.790760344727314,3,242,112.0338460765425
8.47020011878913,10.017077013730653,5,405,188.00326132366575
8.29091041630517,9.523567660243438,5,299,138.31240544569613
5.051090636005694,11.018129371660235,2,392,185.2456600143485
4.922413316351906,5.114656229059496,4,318,134.51917530277876
9.00217081550396,5.171195094427317,3,234,110.15561411835782
4.911987811055092,13.606103891964363,4,436,200.5891814330433
7.021475878893249,8.879702736759219,2,229,107.02325439945061
5.318666436742991,6.154888434527135,1,362,172.28830604279423
4.0367384475592925,13.564318400949261,4,458,208.98628632890586
5.489181771793332,12.422201214880287,3,497,235.69810329018586
3.712988258031454,6.366397061581382,5,237,95.60295819273196
6.999461739395188,4.646560567858892,3,338,151.5111463140201
7.431280711104065,10.232182573494997,2,308,149.36140977162233
1.5292479953745683,2.9991593633783493,4,454,21.428004168185367
